Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Adam Frazier,2016,24,PIT,NL,0.4,66,160,146,21,44,8,1,2,11,4,1,12,26,0.301,0.356,0.411,0.767,105,0.345,107,60,0,1,0,1,0,H749/58,
Adam Frazier,2017,25,PIT,NL,1.1,121,454,406,55,112,20,6,6,53,9,5,36,57,0.276,0.344,0.399,0.743,97,0.333,102,162,9,8,1,3,2,74H9/856D,
Adam Frazier,2018,26,PIT,NL,2.7,113,352,318,52,88,23,2,10,35,1,3,29,53,0.277,0.342,0.456,0.798,118,0.351,122,145,3,3,1,1,2,4H79/8D,
Adam Frazier,2019,27,PIT,NL,2.5,152,608,554,80,154,33,7,10,50,5,5,40,75,0.278,0.336,0.417,0.753,98,0.328,100,231,6,9,4,1,4,*4H,
Adam Frazier,2020,28,PIT,NL,0.8,58,230,209,22,48,7,0,7,23,1,3,17,35,0.23,0.297,0.364,0.661,79,0.289,78,76,3,3,1,0,0,*47/HD,
Adam Frazier,2021,29,2TM,NL,4,155,639,577,83,176,36,5,5,43,10,5,48,69,0.305,0.368,0.411,0.779,114,0.342,113,237,10,10,3,1,2,*4H7/D,AS
Adam Frazier,2021,29,PIT,NL,3,98,428,386,58,125,28,4,4,32,5,4,35,46,0.324,0.388,0.448,0.836,126,0.364,127,173,6,6,0,1,1,4/7HD,
Adam Frazier,2021,29,SDP,NL,1,57,211,191,25,51,8,1,1,11,5,1,13,23,0.267,0.327,0.335,0.662,86,0.297,84,64,4,4,3,0,1,4/H7,
Adam Frazier,2022,30,SEA,AL,0.8,156,602,541,61,129,22,4,3,42,11,6,46,73,0.238,0.301,0.311,0.612,80,0.276,79,168,15,5,4,6,1,*497H/D68,
Adam Frazier,2023,31,BAL,AL,1.7,141,455,412,59,99,21,2,13,60,11,4,32,68,0.24,0.3,0.396,0.696,94,0.307,95,163,4,4,4,2,0,*4H/97D,
Adam Frazier,2024,32,KCR,AL,0.3,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,63,0.269,64,77,0,7,3,0,0,4H9D7/53,
