Team,Season,AB,PA,H_x,1B,2B,3B,HR_x,R_x,RBI,BB_x,IBB,SO_x,HBP_x,SF,SH,GDP,SB,CS,ERA,WHIP,SO_y,W,L,SV,WAR,G,GS,CG,IP,H_y,R_y,ER,HR_y,BB_y,HBP_y,WP,BK,GB,FB,LD,Balls,Strikes,Pitches,RS
6,2021,5394,6128,1350,820,295,13,222,786,754,550,22,1416,104,44,35,127,36,24,4.6532,1.3712,1321,75,68,23,16.4,544,162,1,1237.6,1141,636,590,173,529,61,57,6,1546,1148,687,7955,13209,21164,714
6,2022,3996,4439,930,640,173,11,106,442,445,323,4,1028,77,26,8,93,41,25,7.104375,1.6846875,1130,50,84,30,5.7,650,128,1,1158.6,1138,693,653,185,509,103,54,2,1364,1327,670,7619,12712,20331,525
6,2023,5429,6116,1361,860,267,37,197,774,740,547,8,1485,92,29,19,100,187,46,5.8405555555555555,1.7636111111111112,1271,78,76,53,13.9,716,141,0,1304.0,1281,739,693,196,564,78,45,7,1462,1540,774,8351,14220,22571,708
6,2024,5042,5662,1169,727,245,29,168,669,636,479,7,1387,84,38,18,80,203,45,5.831428571428572,1.5014285714285713,1218,72,73,35,15.7,617,138,1,1249.1,1146,611,570,172,423,85,39,3,1364,1505,695,7432,13450,20882,615
7,2021,4135,4563,985,615,188,19,163,557,537,326,17,1105,56,30,15,85,87,11,4.276666666666666,1.3185714285714287,1322,78,82,39,9.6,648,161,0,1347.2,1228,696,648,210,495,54,51,8,1632,1412,779,8235,14272,22507,694
7,2022,4993,5548,1296,897,255,30,114,637,612,410,36,951,77,48,20,99,115,24,4.87,1.3834782608695653,1382,91,70,51,17.7,662,162,1,1441.9,1238,630,558,172,431,54,48,2,1715,1521,797,7873,14819,22692,692
7,2023,4635,5122,1161,784,248,22,107,563,520,389,39,940,47,38,13,85,137,34,4.56695652173913,1.4152173913043478,1174,68,77,47,13.5,664,136,1,1279.0,1214,625,569,146,475,45,52,10,1546,1428,769,7733,13623,21356,577
7,2024,5064,5653,1217,790,232,18,177,678,643,447,29,1097,80,41,17,109,141,43,3.2508,1.1576,1310,87,65,52,14.0,691,156,0,1306.9,1103,560,518,162,448,57,38,5,1491,1421,664,7541,13834,21375,667
8,2021,5313,5939,1328,838,274,34,182,736,705,486,24,1337,58,34,48,97,76,23,6.67625,1.6912500000000001,1218,69,84,33,13.6,662,160,3,1335.0,1356,773,728,188,517,59,64,3,1782,1320,862,8115,13961,22076,701
8,2022,5540,6105,1408,945,280,34,149,698,669,453,10,1330,61,40,10,139,45,20,5.090909090909091,1.5113636363636365,1061,62,84,43,10.9,578,145,1,1267.6,1347,773,714,164,478,55,58,3,1740,1352,837,7849,13319,21168,620
